rank,case_count,variant_length,variant
2551,2,37,Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt
2552,2,8,Release Purchase Order -> Change Approval for Purchase Order -> Create Purchase Order Item -> Change Approval for Purchase Order -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2553,2,5,Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Record Goods Receipt -> Change Delivery Indicator
2554,2,8,Create Purchase Order Item -> Change Storage Location -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
2555,2,37,Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt
2556,2,8,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2557,2,10,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
2558,2,10,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Change Quantity -> Change Delivery Indicator -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
2559,2,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Clear Invoice
2560,2,6,Create Purchase Order Item -> Change Quantity -> Change Quantity -> Record Goods Receipt -> Record Goods Receipt -> Change Delivery Indicator
2561,2,9,Create Purchase Order Item -> Change Price -> Change Quantity -> Change Price -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2562,2,11,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates invoice -> Vendor creates debit memo -> Record Invoice Receipt -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Remove Payment Block -> Clear Invoice
2563,2,11,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates invoice -> Vendor creates debit memo -> Record Invoice Receipt -> Remove Payment Block -> Cancel Invoice Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
2564,2,8,Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
2565,2,5,Create Purchase Order Item -> Change Delivery Indicator -> Change Delivery Indicator -> Change Quantity -> Record Goods Receipt
2566,2,9,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Vendor creates debit memo -> Cancel Invoice Receipt -> Clear Invoice -> Clear Invoice
2567,2,4,Create Purchase Order Item -> Release Purchase Order -> Delete Purchase Order Item -> Change Approval for Purchase Order
2568,2,6,Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Change Quantity -> Change Delivery Indicator -> Record Goods Receipt
2569,2,7,Create Purchase Order Item -> Change Quantity -> Change Quantity -> Change Quantity -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt
2570,2,8,Create Purchase Order Item -> Change Storage Location -> Change Storage Location -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
2571,2,12,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Remove Payment Block -> Remove Payment Block -> Clear Invoice -> Clear Invoice
2572,2,6,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Change Delivery Indicator -> Remove Payment Block -> Clear Invoice
2573,2,11,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice -> Clear Invoice
2574,2,14,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates debit memo -> Record Goods Receipt -> Record Invoice Receipt -> Cancel Invoice Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice -> Clear Invoice -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2575,2,6,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Delete Purchase Order Item
2576,2,7,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates debit memo -> Vendor creates invoice -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice
2577,2,11,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Vendor creates invoice -> Vendor creates debit memo -> Remove Payment Block -> Clear Invoice -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
2578,2,12,Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Vendor creates debit memo -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
2579,2,12,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Vendor creates invoice -> Change Quantity -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Remove Payment Block -> Clear Invoice
2580,2,8,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Cancel Goods Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
2581,2,9,Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Change Quantity -> Change Delivery Indicator -> Clear Invoice
2582,2,6,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block
2583,2,9,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Quantity -> Change Quantity -> Change Price -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2584,2,6,Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt
2585,2,7,Vendor creates invoice -> Create Purchase Order Item -> Change Price -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
2586,2,10,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates debit memo -> Record Invoice Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Cancel Invoice Receipt -> Clear Invoice -> Clear Invoice
2587,2,12,Create Purchase Order Item -> Receive Order Confirmation -> Vendor creates debit memo -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Remove Payment Block
2588,2,10,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Vendor creates invoice -> Record Goods Receipt -> Clear Invoice -> Record Invoice Receipt -> Clear Invoice
2589,2,11,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Remove Payment Block -> Remove Payment Block -> Clear Invoice
2590,2,8,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Change Quantity -> Change Delivery Indicator -> Record Invoice Receipt -> Clear Invoice
2591,2,10,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
2592,2,10,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates invoice -> Vendor creates debit memo -> Record Goods Receipt -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Clear Invoice
2593,2,10,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Vendor creates invoice -> Remove Payment Block -> Record Subsequent Invoice -> Remove Payment Block -> Clear Invoice -> Clear Invoice
2594,2,10,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Vendor creates invoice -> Record Subsequent Invoice -> Remove Payment Block -> Clear Invoice -> Clear Invoice
2595,2,8,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Change Quantity -> Change Quantity -> Change Delivery Indicator -> Record Invoice Receipt -> Clear Invoice
2596,2,11,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Vendor creates invoice -> Record Goods Receipt -> Remove Payment Block -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice -> Clear Invoice
2597,2,6,Create Purchase Order Item -> Record Goods Receipt -> Record Service Entry Sheet -> Cancel Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet
2598,2,10,Create Purchase Order Item -> Vendor creates debit memo -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Clear Invoice -> Remove Payment Block
2599,2,10,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Record Goods Receipt -> Vendor creates invoice -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
2600,2,8,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Vendor creates debit memo -> Cancel Invoice Receipt -> Clear Invoice
2601,2,11,Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Vendor creates invoice -> Vendor creates debit memo -> Record Invoice Receipt -> Cancel Invoice Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice -> Clear Invoice
2602,2,9,Create Purchase Order Item -> Change Price -> Record Goods Receipt -> Vendor creates invoice -> Block Purchase Order Item -> Reactivate Purchase Order Item -> Change Quantity -> Record Invoice Receipt -> Clear Invoice
2603,2,9,Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
2604,2,9,Create Purchase Order Item -> Change Price -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
2605,2,7,Create Purchase Order Item -> Vendor creates invoice -> Change Quantity -> Change Storage Location -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2606,2,9,Create Purchase Order Item -> Receive Order Confirmation -> Change Price -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
2607,2,10,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Change Delivery Indicator -> Vendor creates debit memo -> Cancel Invoice Receipt -> Clear Invoice -> Remove Payment Block -> Clear Invoice
